web-scraper-order,web-scraper-start-url,categories,categories-href,names,price
1533727605-48,https://www.ideabeam.com/mobile/list/2-gb-ram/,Oppo,https://www.ideabeam.com/mobile/list/2-gb-ram/oppo/,Oppo A71 2018,"Rs. 17,400 					 at 6 stores"
1533727626-84,https://www.ideabeam.com/mobile/list/2-gb-ram/,HTC,https://www.ideabeam.com/mobile/list/2-gb-ram/htc/,HTC Desire 825 Dual SIM,"Rs. 24,000 					 at 5 stores"
1533727593-27,https://www.ideabeam.com/mobile/list/2-gb-ram/,Sony,https://www.ideabeam.com/mobile/list/2-gb-ram/sony/,Sony Xperia XA Dual,"Rs. 21,800 					 at 9 stores"
1533727597-30,https://www.ideabeam.com/mobile/list/2-gb-ram/,Samsung,https://www.ideabeam.com/mobile/list/2-gb-ram/samsung/,Samsung Galaxy J7 Nxt Duos,"Rs. 19,490 at 10 stores"
1533727633-90,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,Apple iPhone 7 128GB (PRODUCT)RED,"Rs. 107,000 at 6 stores"
1533727584-20,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi 3s 16GB,"Rs. 24,900 					 at 3 stores"
1533727615-59,https://www.ideabeam.com/mobile/list/2-gb-ram/,LG,https://www.ideabeam.com/mobile/list/2-gb-ram/lg/,LG Nexus 5X,"Rs. 43,500 at 3 stores"
1533727626-82,https://www.ideabeam.com/mobile/list/2-gb-ram/,HTC,https://www.ideabeam.com/mobile/list/2-gb-ram/htc/,HTC Desire 650 32GB,"Rs. 19,200 					 at 7 stores"
1533727608-53,https://www.ideabeam.com/mobile/list/2-gb-ram/,Nokia,https://www.ideabeam.com/mobile/list/2-gb-ram/nokia/,Nokia 5,"Rs. 23,490 					 at 11 stores"
1533727584-14,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi 5A,"Rs. 15,490 					 at 8 stores"
1533727593-23,https://www.ideabeam.com/mobile/list/2-gb-ram/,Sony,https://www.ideabeam.com/mobile/list/2-gb-ram/sony/,Sony Xperia L1,"Rs. 20,400 at 8 stores"
1533727615-62,https://www.ideabeam.com/mobile/list/2-gb-ram/,LG,https://www.ideabeam.com/mobile/list/2-gb-ram/lg/,LG Nexus 5X 32GB,"Rs. 45,500 					 at 3 stores"
1533727584-11,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi 6A,"Rs. 19,490 					 at 2 stores"
1533727626-83,https://www.ideabeam.com/mobile/list/2-gb-ram/,HTC,https://www.ideabeam.com/mobile/list/2-gb-ram/htc/,HTC Desire 825 Dual SIM,"Rs. 24,000 					 at 5 stores"
1533727593-24,https://www.ideabeam.com/mobile/list/2-gb-ram/,Sony,https://www.ideabeam.com/mobile/list/2-gb-ram/sony/,Sony Xperia XA Dual,"Rs. 21,800 at 9 stores"
1533727612-57,https://www.ideabeam.com/mobile/list/2-gb-ram/,Meizu,https://www.ideabeam.com/mobile/list/2-gb-ram/meizu/,Meizu M5c,"Rs. 14,900 					 at 3 stores"
1533727623-78,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,Huawei Y6 2,"Rs. 19,000 					 at 6 stores"
1533727612-55,https://www.ideabeam.com/mobile/list/2-gb-ram/,Meizu,https://www.ideabeam.com/mobile/list/2-gb-ram/meizu/,Meizu M5c,"Rs. 14,900 at 3 stores"
1533727615-60,https://www.ideabeam.com/mobile/list/2-gb-ram/,LG,https://www.ideabeam.com/mobile/list/2-gb-ram/lg/,LG Nexus 5X 32GB,"Rs. 45,500 at 3 stores"
1533727623-71,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,Huawei Y6 2,"Rs. 24,800 					 at 7 stores"
1533727593-25,https://www.ideabeam.com/mobile/list/2-gb-ram/,Sony,https://www.ideabeam.com/mobile/list/2-gb-ram/sony/,Sony Xperia XA,"Rs. 21,900 					 at 10 stores"
1533727597-29,https://www.ideabeam.com/mobile/list/2-gb-ram/,Samsung,https://www.ideabeam.com/mobile/list/2-gb-ram/samsung/,Samsung Galaxy J4,"Rs. 19,990 					 at 8 stores"
1533727584-8,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi Note 4 Standard Edition,"Rs. 111,990 					 at 11 stores"
1533727601-43,https://www.ideabeam.com/mobile/list/2-gb-ram/,Panasonic,https://www.ideabeam.com/mobile/list/2-gb-ram/panasonic/,Panasonic P88,"Rs. 24,000 					 at 6 stores"
1533727597-42,https://www.ideabeam.com/mobile/list/2-gb-ram/,Samsung,https://www.ideabeam.com/mobile/list/2-gb-ram/samsung/,,
1533727608-54,https://www.ideabeam.com/mobile/list/2-gb-ram/,Nokia,https://www.ideabeam.com/mobile/list/2-gb-ram/nokia/,,"Rs. 15,300 					 at 11 stores"
1533727633-89,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,Apple iPhone SE 32GB,
1533727623-69,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,Huawei GR3,
1533727633-99,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,,"Rs. 107,000 					 at 6 stores"
1533727633-85,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,Apple iPhone 8 Red,
1533727623-65,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,Huawei Y5 Prime 2018,
1533727623-67,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,Huawei Y7,
1533727584-15,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,,"Rs. 14,900 					 at 7 stores"
1533727584-16,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,,"Rs. 17,900 					 at 7 stores"
1533727626-80,https://www.ideabeam.com/mobile/list/2-gb-ram/,HTC,https://www.ideabeam.com/mobile/list/2-gb-ram/htc/,HTC Desire 825 Dual SIM,
1533727584-9,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi 3x,
1533727584-10,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi 3s 16GB,
1533727623-75,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,,"Rs. 14,000 					 at 9 stores"
1533727597-37,https://www.ideabeam.com/mobile/list/2-gb-ram/,Samsung,https://www.ideabeam.com/mobile/list/2-gb-ram/samsung/,,"Rs. 19,490 					 at 10 stores"
1533727633-98,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,,"Rs. 46,990 					 at 10 stores"
1533727584-6,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi 4X,
1533727633-102,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,,"Rs. 89,490 					 at 10 stores"
1533727605-45,https://www.ideabeam.com/mobile/list/2-gb-ram/,Oppo,https://www.ideabeam.com/mobile/list/2-gb-ram/oppo/,Oppo A71 2018,
1533727605-47,https://www.ideabeam.com/mobile/list/2-gb-ram/,Oppo,https://www.ideabeam.com/mobile/list/2-gb-ram/oppo/,,"Rs. 19,790 					 at 6 stores"
1533727615-61,https://www.ideabeam.com/mobile/list/2-gb-ram/,LG,https://www.ideabeam.com/mobile/list/2-gb-ram/lg/,,"Rs. 43,500 					 at 3 stores"
1533727623-77,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,,"Rs. 23,400 					 at 3 stores"
1533727623-68,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,Huawei Y5 (2017),
1533727597-38,https://www.ideabeam.com/mobile/list/2-gb-ram/,Samsung,https://www.ideabeam.com/mobile/list/2-gb-ram/samsung/,,"Rs. 17,490 					 at 7 stores"
1533727597-41,https://www.ideabeam.com/mobile/list/2-gb-ram/,Samsung,https://www.ideabeam.com/mobile/list/2-gb-ram/samsung/,,"Rs. 16,400 					 at 11 stores"
1533727633-88,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,Apple iPhone 6s Plus 32GB,
